,Target,OBC,Local Var,,,,,,,,,,,,,,
,PacketID,0x37,,,,,,,,,,,,,,,
,Enable/Disable,ENABLE,,,,,,,,,,,,,,,
,IsRestricted,TRUE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Comment,TLM Entry,Onboard Software Info.,,Extraction Info.,,,,Conversion Info.,,,,,,,,Description,Note
,Name,Var.%%##Type,Variable or Function Name,Ext.%%##Type,Pos. Desiginator,,,Conv.%%##Type,Poly (Σa_i * x^i),,,,,,Status,,
,,,,,Octet%%##Pos.,bit%%##Pos.,bit%%##Len.,,a0,a1,a2,a3,a4,a5,,,
,PH.VER,uint16_t,,PACKET,0,0,3,NONE,,,,,,,,,
,PH.TYPE,,,PACKET,0,3,1,NONE,,,,,,,,,
,PH.SH_FLAG,,,PACKET,0,4,1,NONE,,,,,,,,,
,PH.APID,,,PACKET,0,5,11,NONE,,,,,,,,,
,PH.SEQ_FLAG,uint16_t,,PACKET,2,0,2,NONE,,,,,,,,,
,PH.SEQ_COUNT,,,PACKET,2,2,14,NONE,,,,,,,,,
,PH.PACKET_LEN,uint16_t,,PACKET,4,0,16,NONE,,,,,,,,,
,SH.VER,uint8_t,,PACKET,6,0,8,NONE,,,,,,,,,
,SH.TI,uint32_t,,PACKET,7,0,32,NONE,,,,,,,,,
,SH.TLM_ID,uint8_t,,PACKET,11,0,8,HEX,,,,,,,,,
,SH.GLOBAL_TIME,double,,PACKET,12,0,64,NONE,,,,,,,,,
,SH.ON_BOARD_SUBNET_TIME,uint32_t,,PACKET,20,0,32,NONE,,,,,,,,,
,SH.DEST_FLAGS,uint8_t,,PACKET,24,0,8,HEX,,,,,,,,,
,SH.DEST_INFO,uint8_t,,PACKET,25,0,8,NONE,,,,,,,,,
,CENTROIDING.ENABLE_FILTER,uint8_t,(uint8_t)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.centroiding.enable_filter),PACKET,26,0,8,NONE,,,,,,,,,
,CENTROIDING.MAX_QUALITY,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.centroiding.max_quality),PACKET,27,0,32,NONE,,,,,,,,,
,CENTROIDING.DARK_THRESHOLD_pix,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.centroiding.dark_threshold_pix),PACKET,31,0,32,NONE,,,,,,,,,
,CENTROIDING.MIN_QUALITY,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.centroiding.min_quality),PACKET,35,0,32,NONE,,,,,,,,,
,CENTROIDING.MAX_INTENSITY,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.centroiding.max_intensity),PACKET,39,0,32,NONE,,,,,,,,,
,CENTROIDING.MIN_INTENSITY,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.centroiding.min_intensity),PACKET,43,0,32,NONE,,,,,,,,,
,CENTROIDING.MAX_MAGNITUDE,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.centroiding.max_magnitude),PACKET,47,0,32,NONE,,,,,,,,,
,CENTROIDING.GAUSSIAN_CMAX_pix,float,(float)(sagitta_driver[SAGITTA_IDX_IN_UNIT]->info.read_parameter.centroiding.gaussian_cmax_pix),PACKET,51,0,32,NONE,,,,,,,,,
